
TEAM	MATCH UP	GAME DATE	W/L	MIN	PTS	FGM	FGA	FG%	3PM	3PA	3P%	FTM	FTA	FT%	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
VAN	VAN @ SAC	05/05/1999	L	48	95	36	85	42.4	3	7	42.9	20	27	74.1	11	31	42	13	16	13	1	25	-4
BOS	BOS vs. CHH	05/05/1999	L	58	129	48	108	44.4	12	28	42.9	21	29	72.4	16	36	52	34	10	10	5	31	-4
PHX	PHX vs. MIN	05/05/1999	W	48	100	33	79	41.8	2	10	20.0	32	45	71.1	11	33	44	22	11	9	6	11	4
TOR	TOR vs. CLE	05/05/1999	W	48	96	36	78	46.2	5	10	50.0	19	23	82.6	19	26	45	31	18	11	6	14	9
LAL	LAL vs. POR	05/05/1999	W	48	119	40	78	51.3	14	24	58.3	25	34	73.5	11	32	43	30	17	5	2	21	28
MIN	MIN @ PHX	05/05/1999	L	48	96	42	96	43.8	7	22	31.8	5	7	71.4	13	39	52	25	17	7	2	30	-4
WAS	WAS @ ATL	05/05/1999	L	48	92	33	78	42.3	6	18	33.3	20	29	69.0	13	24	37	13	14	5	4	18	-8
NJN	NJN vs. MIL	05/05/1999	W	48	115	39	77	50.6	11	20	55.0	26	34	76.5	12	27	39	22	15	8	2	18	8
CHH	CHH @ BOS	05/05/1999	W	58	133	49	100	49.0	4	10	40.0	31	37	83.8	13	42	55	30	13	2	5	22	4
LAC	LAC vs. SEA	05/05/1999	L	48	105	43	93	46.2	7	22	31.8	12	18	66.7	11	24	35	19	14	16	5	22	-2
NYK	NYK vs. MIA	05/05/1999	W	48	101	45	83	54.2	0	4	0.0	11	19	57.9	15	21	36	25	14	13	2	22	13
ATL	ATL vs. WAS	05/05/1999	W	48	100	40	96	41.7	3	16	18.8	17	20	85.0	24	28	52	23	15	7	2	22	8
ORL	ORL @ CHI	05/05/1999	W	48	103	40	79	50.6	5	9	55.6	18	23	78.3	11	33	44	30	19	12	4	15	20
CHI	CHI vs. ORL	05/05/1999	L	48	83	36	75	48.0	4	12	33.3	7	11	63.6	6	24	30	29	20	10	3	19	-20
SAS	SAS @ GSW	05/05/1999	W	48	88	30	73	41.1	2	9	22.2	26	31	83.9	10	36	46	19	10	7	3	14	7
HOU	HOU @ DEN	05/05/1999	W	48	95	40	90	44.4	10	19	52.6	5	10	50.0	11	39	50	27	12	5	11	16	7
SEA	SEA @ LAC	05/05/1999	W	48	107	43	79	54.4	5	12	41.7	16	28	57.1	14	37	51	23	24	9	2	15	2
MIL	MIL @ NJN	05/05/1999	L	48	107	45	81	55.6	3	13	23.1	14	17	82.4	7	28	35	17	14	10	1	27	-8
POR	POR @ LAL	05/05/1999	L	48	91	37	86	43.0	6	17	35.3	11	21	52.4	11	27	38	24	14	6	7	31	-28
SAC	SAC vs. VAN	05/05/1999	W	48	99	34	84	40.5	4	22	18.2	27	39	69.2	20	35	55	17	20	8	8	22	4
DET	DET @ PHI	05/05/1999	L	53	100	36	76	47.4	3	11	27.3	25	31	80.6	10	27	37	24	20	7	3	27	-5
CLE	CLE @ TOR	05/05/1999	L	48	87	33	74	44.6	7	20	35.0	14	17	82.4	11	22	33	24	16	12	8	17	-9
PHI	PHI vs. DET	05/05/1999	W	53	105	41	98	41.8	3	9	33.3	20	23	87.0	20	28	48	24	16	11	1	27	5
DEN	DEN vs. HOU	05/05/1999	L	48	88	36	95	37.9	5	21	23.8	11	22	50.0	17	35	52	19	6	11	7	14	-7
MIA	MIA @ NYK	05/05/1999	L	48	88	34	64	53.1	3	12	25.0	17	18	94.4	7	21	28	20	24	5	2	19	-13
GSW	GSW vs. SAS	05/05/1999	L	48	81	31	93	33.3	4	9	44.4	15	20	75.0	22	31	53	17	8	7	2	20	-7
CHH	CHH vs. PHI	05/04/1999	W	53	117	39	83	47.0	7	21	33.3	32	39	82.1	17	27	44	30	23	17	12	27	7
CLE	CLE @ IND	05/04/1999	L	48	78	28	68	41.2	5	15	33.3	17	21	81.0	9	18	27	11	16	7	4	28	-22
MIA	MIA vs. ATL	05/04/1999	W	48	93	34	76	44.7	8	21	38.1	17	25	68.0	13	28	41	22	9	6	2	27	14
IND	IND vs. CLE	05/04/1999	W	48	100	36	72	50.0	6	12	50.0	22	25	88.0	14	23	37	26	13	10	7	20	22
DAL	DAL @ SEA	05/04/1999	L	48	100	36	88	40.9	8	18	44.4	20	29	69.0	9	28	37	21	11	10	4	32	-10
PHI	PHI @ CHH	05/04/1999	L	53	110	42	94	44.7	2	11	18.2	24	35	68.6	21	27	48	23	24	13	3	33	-7
POR	POR vs. SAS	05/04/1999	L	48	81	33	77	42.9	6	13	46.2	9	14	64.3	11	28	39	26	16	8	5	20	-6
MIN	MIN @ HOU	05/04/1999	L	48	83	33	79	41.8	1	5	20.0	16	20	80.0	16	28	44	17	19	5	7	17	-17
LAC	LAC @ UTA	05/04/1999	L	48	82	30	81	37.0	4	13	30.8	18	25	72.0	14	18	32	15	7	12	3	21	-17
TOR	TOR @ MIL	05/04/1999	L	48	86	34	81	42.0	3	14	21.4	15	22	68.2	13	27	40	19	19	9	3	21	-13
HOU	HOU vs. MIN	05/04/1999	W	48	100	39	78	50.0	12	24	50.0	10	14	71.4	7	31	38	32	17	11	3	16	17
SEA	SEA vs. DAL	05/04/1999	W	48	110	38	72	52.8	5	17	29.4	29	39	74.4	5	42	47	19	18	3	5	22	10
ATL	ATL @ MIA	05/04/1999	L	48	79	24	65	36.9	5	14	35.7	26	36	72.2	5	27	32	6	11	7	2	19	-14
UTA	UTA vs. LAC	05/04/1999	W	48	99	40	64	62.5	0	3	0.0	19	23	82.6	7	36	43	32	17	5	9	21	17
MIL	MIL vs. TOR	05/04/1999	W	48	99	35	78	44.9	5	10	50.0	24	27	88.9	12	32	44	24	19	9	3	20	13
SAS	SAS @ POR	05/04/1999	W	48	87	33	70	47.1	1	10	10.0	20	24	83.3	8	31	39	21	13	8	3	19	6
DAL	DAL @ LAL	05/03/1999	L	48	102	35	71	49.3	4	13	30.8	28	40	70.0	9	24	33	13	17	8	3	28	-13
SAC	SAC @ DEN	05/03/1999	W	48	112	42	81	51.9	5	17	29.4	23	32	71.9	7	29	36	27	15	10	7	11	8
WAS	WAS vs. NJN	05/03/1999	W	48	113	45	81	55.6	5	13	38.5	18	26	69.2	12	35	47	25	19	8	11	16	11
GSW	GSW @ VAN	05/03/1999	W	48	91	30	66	45.5	3	11	27.3	28	32	87.5	9	33	42	19	20	7	6	24	8
DEN	DEN vs. SAC	05/03/1999	L	48	104	43	94	45.7	6	15	40.0	12	14	85.7	13	29	42	22	14	7	5	26	-8
NJN	NJN @ WAS	05/03/1999	L	48	102	36	89	40.4	9	21	42.9	21	23	91.3	16	23	39	26	17	13	2	22	-11
NYK	NYK vs. BOS	05/03/1999	W	48	95	36	73	49.3	2	5	40.0	21	27	77.8	7	39	46	23	14	9	4	19	7
LAL	LAL vs. DAL	05/03/1999	W	48	115	42	77	54.5	7	16	43.8	24	29	82.8	10	25	35	31	18	10	3	27	13
BOS	BOS @ NYK	05/03/1999	L	48	88	33	79	41.8	5	15	33.3	17	24	70.8	6	33	39	23	11	7	5	20	-7
CHI	CHI vs. DET	05/03/1999	L	48	71	27	71	38.0	5	18	27.8	12	18	66.7	8	18	26	20	13	7	2	17	-44
VAN	VAN vs. GSW	05/03/1999	L	48	83	28	76	36.8	3	9	33.3	24	35	68.6	17	22	39	15	13	15	4	23	-8
DET	DET @ CHI	05/03/1999	W	48	115	47	73	64.4	5	9	55.6	16	19	84.2	9	33	42	27	12	8	4	19	44
SAS	SAS vs. UTA	05/02/1999	W	48	84	25	62	40.3	1	7	14.3	33	46	71.7	13	32	45	10	16	10	8	24	6
LAC	LAC @ HOU	05/02/1999	L	48	84	33	77	42.9	3	12	25.0	15	26	57.7	11	23	34	17	17	5	3	18	-26
DEN	DEN vs. POR	05/02/1999	L	48	102	40	83	48.2	9	22	40.9	13	17	76.5	13	22	35	25	15	9	4	18	-8
SEA	SEA vs. LAL	05/02/1999	L	48	84	27	72	37.5	4	21	19.0	26	40	65.0	14	36	50	15	17	4	8	29	-7
PHI	PHI @ DET	05/02/1999	L	48	96	37	72	51.4	4	13	30.8	18	35	51.4	10	23	33	21	12	12	2	22	-4
ATL	ATL @ CLE	05/02/1999	W	48	76	26	67	38.8	3	10	30.0	21	26	80.8	14	35	49	17	16	9	4	17	11
PHX	PHX @ SAC	05/02/1999	L	48	100	36	86	41.9	7	17	41.2	21	25	84.0	18	36	54	24	20	8	5	20	-11
UTA	UTA @ SAS	05/02/1999	L	48	78	30	71	42.3	1	5	20.0	17	22	77.3	9	21	30	23	13	9	3	32	-6
SAC	SAC vs. PHX	05/02/1999	W	48	111	42	97	43.3	7	27	25.9	20	23	87.0	17	27	44	21	9	12	5	20	11
NYK	NYK @ IND	05/02/1999	L	48	71	30	89	33.7	2	8	25.0	9	12	75.0	19	27	46	11	11	5	5	16	-23
POR	POR @ DEN	05/02/1999	W	48	110	42	81	51.9	9	22	40.9	17	22	77.3	12	26	38	29	13	10	5	17	8
DET	DET vs. PHI	05/02/1999	W	48	100	38	75	50.7	3	11	27.3	21	26	80.8	14	29	43	16	17	4	4	23	4
CHH	CHH @ MIA	05/02/1999	L	48	93	35	72	48.6	6	16	37.5	17	20	85.0	6	27	33	22	12	8	1	23	-7
LAL	LAL @ SEA	05/02/1999	W	48	91	35	77	45.5	5	13	38.5	16	34	47.1	8	34	42	22	12	8	6	27	7
HOU	HOU vs. LAC	05/02/1999	W	48	110	41	80	51.3	11	21	52.4	17	21	81.0	12	27	39	28	16	8	4	23	26
CLE	CLE vs. ATL	05/02/1999	L	48	65	25	76	32.9	3	12	25.0	12	15	80.0	12	24	36	21	12	9	6	23	-11
MIA	MIA vs. CHH	05/02/1999	W	48	100	38	73	52.1	6	17	35.3	18	27	66.7	7	32	39	24	12	5	3	19	7
IND	IND vs. NYK	05/02/1999	W	48	94	37	74	50.0	8	16	50.0	12	14	85.7	9	34	43	24	10	6	6	19	23
PHI	PHI vs. TOR	05/01/1999	W	48	103	36	79	45.6	2	9	22.2	29	32	90.6	15	25	40	31	13	11	2	22	7
TOR	TOR @ PHI	05/01/1999	L	48	96	35	72	48.6	5	14	35.7	21	26	80.8	10	24	34	26	20	7	2	27	-7
LAC	LAC @ MIN	05/01/1999	L	48	93	36	81	44.4	3	11	27.3	18	25	72.0	11	30	41	25	13	2	6	20	-10
CHI	CHI @ MIA	05/01/1999	W	48	101	39	67	58.2	5	12	41.7	18	20	90.0	5	36	41	23	13	5	1	17	15
